,timeline,MAP
0,2018-10-15,0.003706189889516992
1,2018-10-22,0.0036500039011859277
2,2018-11-15,0.004228553247026634
3,2018-11-22,0.003982120916660209
4,2018-12-15,0.003742289898411289
5,2018-12-22,0.002934736693920944
6,2019-01-15,0.009112088645093734
7,2019-01-22,0.0059122713837938675
8,2019-02-15,0.004957282720536082
9,2019-02-22,0.0032645174690629137
10,2019-03-15,0.0033463580357755178
11,2019-03-22,0.001673560849002102
12,2019-04-15,0.0034629062308753297
13,2019-04-22,0.0017223648371323531
14,2019-05-15,0.002257396037260413
15,2019-05-22,0.002570213012212404
16,2019-06-15,0.0018787974176229152
17,2019-06-22,0.002069212079801238
18,2019-07-15,0.0033659140890861423
19,2019-07-22,0.0038606570579611684
20,2019-09-15,0.004427217805418718
21,2019-09-22,0.003914958878423329
22,2019-10-15,0.0017535171966071845
23,2019-10-22,0.004244672041610195
24,2019-11-15,0.0040628891110973285
25,2019-11-22,0.0055945002302185895
26,2019-12-15,0.0009893937897049933
27,2019-12-22,0.0028832436966839442
28,2020-01-15,0.002564746230505089
29,2020-01-22,0.0033560230714048526
30,2020-02-15,0.002874857419588757
31,2020-02-22,0.0033939079842479967
32,2020-03-15,0.00457556546185097
33,2020-03-22,0.005482219686089836
34,2020-04-15,0.004470963912065659
35,2020-04-22,0.0053007463389727226
36,2020-05-15,0.002440746105883477
37,2020-05-22,0.003017364288094463
38,2020-06-15,0.0021104560227518075
39,2020-06-22,0.0021949185909159656
40,2020-07-15,0.0020705445102192086
41,2020-07-22,0.0030071404559243735
42,2020-08-15,0.002168801389633364
43,2020-08-22,0.005547743028109001
